meet_num,BB_num,meet_date,GB_date
199002,199001,07/02/1990,31/01/1990
199003,199003,27/03/1990,21/03/1990
199005,199005,15/05/1990,09/05/1990
199007,199006,03/07/1990,27/06/1990
199008,199008,21/08/1990,15/08/1990
199010,199009,02/10/1990,26/09/1990
199011,199011,13/11/1990,07/11/1990
199012,199012,18/12/1990,12/12/1990
199105,199105,14/05/1991,08/05/1991
199107,199106,03/07/1991,26/06/1991
199211,199211,17/11/1992,12/11/1992
199212,199212,22/12/1992,18/12/1992
199302,199301,03/02/1993,29/01/1993
199303,199303,23/03/1993,19/03/1993
199305,199305,18/05/1993,14/05/1993
199307,199307,07/07/1993,02/07/1993
199308,199308,17/08/1993,13/08/1993
199309,199309,21/09/1993,15/09/1993
199311,199311,16/11/1993,10/11/1993
199312,199312,21/12/1993,15/12/1993
199402,199401,04/02/1994,28/01/1994
199403,199403,22/03/1994,18/03/1994
199408,199408,16/08/1994,12/08/1994
199411,199411,15/11/1994,10/11/1994
199412,199412,20/12/1994,14/12/1994
199502,199501,01/02/1995,27/01/1995
199503,199503,28/03/1995,24/03/1995
199505,199505,23/05/1995,19/05/1995
199507,199506,06/07/1995,28/06/1995
199508,199508,22/08/1995,16/08/1995
199509,199509,26/09/1995,20/09/1995
199511,199511,15/11/1995,09/11/1995
199512,199512,19/12/1995,14/12/1995
199601,199601,31/01/1996,26/01/1996
199603,199603,26/03/1996,21/03/1996
199605,199605,21/05/1996,16/05/1996
199607,199606,03/07/1996,26/06/1996
199608,199608,20/08/1996,15/08/1996
199609,199609,24/09/1996,20/09/1996
199702,199701,05/02/1997,29/01/1997
199703,199703,25/03/1997,19/03/1997
199705,199705,20/05/1997,16/05/1997
199707,199706,02/07/1997,25/06/1997
199708,199708,19/08/1997,14/08/1997
199709,199709,30/09/1997,24/09/1997
199711,199711,12/11/1997,06/11/1997
199712,199712,16/12/1997,12/12/1997
199802,199801,04/02/1998,30/01/1998
199803,199803,31/03/1998,25/03/1998
199805,199805,19/05/1998,14/05/1998
199807,199806,01/07/1998,24/06/1998
199808,199808,18/08/1998,13/08/1998
199809,199809,29/09/1998,23/09/1998
199811,199811,17/11/1998,13/11/1998
199812,199812,22/12/1998,18/12/1998
199902,199901,03/02/1999,28/01/1999
199903,199903,30/03/1999,24/03/1999
199905,199905,18/05/1999,13/05/1999
199906,199906,30/06/1999,23/06/1999
199908,199908,24/08/1999,18/08/1999
199910,199909,05/10/1999,29/09/1999
199911,199911,16/11/1999,15/11/1999
199912,199912,21/12/1999,15/12/1999
200002,200001,02/02/2000,27/01/2000
200003,200003,21/03/2000,17/03/2000
200005,200005,16/05/2000,11/05/2000
200006,200006,28/06/2000,21/06/2000
200008,200008,22/08/2000,18/08/2000
200010,200009,03/10/2000,27/09/2000
200011,200011,15/11/2000,08/11/2000
200012,200012,19/12/2000,15/12/2000
200101,200101,31/01/2001,25/01/2001
200103,200103,20/03/2001,14/03/2001
200105,200105,15/05/2001,09/05/2001
200106,200106,27/06/2001,20/06/2001
200108,200108,21/08/2001,17/08/2001
200110,200109,02/10/2001,27/09/2001
200111,200111,06/11/2001,02/11/2001
200112,200112,11/12/2001,07/12/2001
200201,200201,30/01/2002,25/01/2002
200203,200203,19/03/2002,13/03/2002
200205,200205,07/05/2002,01/05/2002
200206,200206,26/06/2002,20/06/2002
200208,200208,13/08/2002,07/08/2002
200209,200209,24/09/2002,20/09/2002
200211,200210,06/11/2002,30/10/2002
200212,200212,10/12/2002,04/12/2002
200301,200301,29/01/2003,22/01/2003
200303,200303,18/03/2003,13/03/2003
200305,200304,06/05/2003,30/04/2003
200306,200306,25/06/2003,18/06/2003
200308,200308,12/08/2003,06/08/2003
200309,200309,16/09/2003,10/09/2003
200310,200310,28/10/2003,22/10/2003
200312,200312,09/12/2003,05/12/2003
200401,200401,28/01/2004,21/01/2004
200403,200403,16/03/2004,11/03/2004
200405,200404,04/05/2004,28/04/2004
200406,200406,30/06/2004,25/06/2004
200408,200408,10/08/2004,05/08/2004
200409,200409,21/09/2004,15/09/2004
200411,200411,10/11/2004,03/11/2004
200412,200412,14/12/2004,10/12/2004
200502,200501,02/02/2005,28/01/2005
200503,200503,22/03/2005,18/03/2005
200505,200504,03/05/2005,28/04/2005
200506,200506,30/06/2005,22/06/2005
200508,200508,09/08/2005,04/08/2005
200509,200509,20/09/2005,14/09/2005
200511,200510,01/11/2005,28/10/2005
200512,200512,13/12/2005,09/12/2005
200601,200601,31/01/2006,25/01/2006
200603,200603,28/03/2006,24/03/2006
200605,200605,10/05/2006,05/05/2006
200606,200606,29/06/2006,21/06/2006
200608,200608,08/08/2006,03/08/2006
200609,200609,20/09/2006,13/09/2006
200610,200610,25/10/2006,18/10/2006
200612,200612,12/12/2006,06/12/2006
200701,200701,31/01/2007,24/01/2007
200703,200703,21/03/2007,14/03/2007
200705,200705,09/05/2007,02/05/2007
200706,200706,28/06/2007,20/06/2007
200708,200708,07/08/2007,02/08/2007
200709,200709,18/09/2007,14/09/2007
200710,200710,31/10/2007,26/10/2007
200712,200712,11/12/2007,05/12/2007
200801,200801,30/01/2008,23/01/2008
200803,200803,18/03/2008,13/03/2008
200804,200804,30/04/2008,23/04/2008
200806,200806,25/06/2008,18/06/2008
200808,200808,05/08/2008,01/08/2008
200809,200809,16/09/2008,10/09/2008
200810,200810,29/10/2008,22/10/2008
200812,200812,16/12/2008,12/12/2008
200901,200901,28/01/2009,22/01/2009
200903,200903,18/03/2009,12/03/2009
200904,200904,29/04/2009,24/04/2009
200906,200906,24/06/2009,17/06/2009
200908,200908,12/08/2009,07/08/2009
200909,200909,23/09/2009,18/09/2009
200911,200910,04/11/2009,29/10/2009
200912,200912,16/12/2009,09/12/2009
201001,201001,27/01/2010,20/01/2010
201003,201003,16/03/2010,10/03/2010
201004,201004,28/04/2010,21/04/2010
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
